ACTIFED DRY COUGH	Pseudoephedrine + Triprolidine	Tablets	Respiratory & Cough
BENYLIN CHESTY COUGH	Guaifenesin 100mg + Menthol	Syrup	Respiratory & Cough
BENYLIN DRY COUGH	Dextromethorphan 6.5mg/5ml	Syrup	Respiratory & Cough
CARBOCYSTEINE RHINATHIOL	Carbocysteine 250mg/5ml	Syrup	Respiratory & Cough
AVAMYS NASAL SPRAY	Fluticasone Furoate 27.5mcg/dose	Nasal Spray	Respiratory & Cough
JET 2 INHALER	Salbutamol 100mcg/dose	Inhaler	Respiratory & Cough
MUCOLEX ADULT	Carbocysteine 250mg/5ml	Syrup	Respiratory & Cough
OTRIVIN ADULT	Xylometazoline HCl 0.1%	Nasal Spray	Respiratory & Cough
SALBUTAMOL NEBULES 2.5MG	Salbutamol 2.5mg/2.5ml	Nebuliser	Respiratory & Cough
SERETIDE INHALER	Fluticasone + Salmeterol 250/25mcg	Inhaler	Respiratory & Cough
SYMBICORT INHALER	Budesonide 160mcg + Formoterol 4.5mcg	Inhaler	Respiratory & Cough
VENTOLIN INHALER	Salbutamol 100mcg/dose	Inhaler	Respiratory & Cough
WOODS ANTITUSSIVE	Dextromethorphan + Guaifenesin	Syrup	Respiratory & Cough
ZECARB ADULT COUGH	Carbocysteine 250mg/5ml	Syrup	Respiratory & Cough
ZTRIM SEPTRIN SYRUP	Co-Trimoxazole	Syrup	Respiratory & Cough
DAPAGLIFLOZIN 5MG	Dapagliflozin 5mg	Tablets	Diabetes
DAPAGLIFLOZIN 10MG	Dapagliflozin 10mg	Tablets	Diabetes
DIABETAGE	Metformin 500mg	Tablets	Diabetes
FORXIGA	Dapagliflozin 10mg	Tablets	Diabetes
GALVUS MET 50/500	Vildagliptin 50mg + Metformin 500mg	Tablets	Diabetes
GLICLAZIDE 80MG	Gliclazide 80mg	Tablets	Diabetes
GLIMEPIRIDE 2MG	Glimepiride 2mg	Tablets	Diabetes
INSULIN MIXTARD 30/70	Insulin Isophane 70% + Soluble 30%	Injection	Diabetes
METFORMIN DENK 500MG	Metformin HCl 500mg	Tablets	Diabetes
METFORMIN DENK 1000MG	Metformin HCl 1000mg	Tablets	Diabetes
PIOGLITAZONE PIGLAT	Pioglitazone 30mg	Tablets	Diabetes
ALPHAGAN PURITE	Brimonidine 0.15%	Eye Drops	Eye / ENT
ARTIFICIAL TEARS	Hypromellose 0.3%	Eye Drops	Eye / ENT
CHLORAMPHENICOL EYE DROP	Chloramphenicol 0.5%	Eye Drops	Eye / ENT
CIPRO EYE EAR DROP	Ciprofloxacin 0.3%	Eye Drops	Eye / ENT
COMBIGAN EYE DROP	Brimonidine 0.2% + Timolol 0.5%	Eye Drops	Eye / ENT
DEXATROL EYE DROP	Dexamethasone + Antibiotic	Eye Drops	Eye / ENT
LATANOPROST XALATAN	Latanoprost 0.005%	Eye Drops	Eye / ENT
MAXITROL EYE DROP	Dexamethasone + Neomycin + Polymyxin B	Eye Drops	Eye / ENT
OLOPATADINE EYE DROP	Olopatadine 0.1%	Eye Drops	Eye / ENT
OPTIMOL EYE DROP	Timolol Maleate 0.5%	Eye Drops	Eye / ENT
PREDFORTE EYE DROP	Prednisolone Acetate 1%	Eye Drops	Eye / ENT
TOBMENSON EYE DROP	Tobramycin 0.3%	Eye Drops	Eye / ENT
TRAVATAN EYE DROP	Travoprost 0.004%	Eye Drops	Eye / ENT
ZENTASON MOMETASONE SPRAY	Mometasone Furoate 50mcg/dose	Nasal Spray	Eye / ENT
ACNERON CREAM	Benzoyl Peroxide / Adapalene	Cream	Dermatology & Topical
CANDIDERM CREAM	Miconazole + Betamethasone	Cream	Dermatology & Topical
CLOTRI DENK CREAM	Clotrimazole 1%	Cream	Dermatology & Topical
FUNBACT A CREAM	Miconazole + Betamethasone + Neomycin	Cream	Dermatology & Topical
HYDROCORT CREAM	Hydrocortisone 1%	Cream	Dermatology & Topical
MYCOLEX CREAM	Clotrimazole 1%	Cream	Dermatology & Topical
NIZORAL CREAM 30G	Ketoconazole 2% 30g	Cream	Dermatology & Topical
MUPIROCIN CREAM	Mupirocin 2%	Cream	Dermatology & Topical
SILVERDERMA CREAM	Silver Sulfadiazine 1%	Cream	Dermatology & Topical
SUDOCREM	Zinc Oxide + Lanolin	Cream	Dermatology & Topical
TRETINOIN CREAM	Tretinoin 0.025%	Cream	Dermatology & Topical
CALAMINE LOTION	Calamine 15%	Lotion	Dermatology & Topical
CLOMID	Clomifene Citrate 50mg	Tablets	Womens Health
CONTRA 72	Levonorgestrel 1.5mg	Tablets	Womens Health
CYCLOGEST	Progesterone 400mg	Pessaries	Womens Health
MISOPROSTOL CYTOTEC	Misoprostol 200mcg	Tablets	Womens Health
OXYTOCIN INJECTION	Oxytocin 10IU/ml	Injection	Womens Health
POSTINOR 2	Levonorgestrel 1.5mg	Tablets	Womens Health
PRIMOLUT N	Norethisterone 5mg	Tablets	Womens Health
AMITRIPTYLINE 25MG	Amitriptyline HCl 25mg	Tablets	Neurology & CNS
CARBAMAZEPINE 200MG	Carbamazepine 200mg	Tablets	Neurology & CNS
DIAZEPAM 5MG	Diazepam 5mg	Tablets	Neurology & CNS
DIAZEPAM 10MG	Diazepam 10mg	Tablets	Neurology & CNS
FLUOXETINE 20MG	Fluoxetine 20mg	Capsules	Neurology & CNS
LYRICA	Pregabalin 75mg	Capsules	Neurology & CNS
NOOTROPIL PIRACETAM	Piracetam 800mg	Tablets	Neurology & CNS
OLANZAPINE 5MG	Olanzapine 5mg	Tablets	Neurology & CNS
PREGABALIN 75MG	Pregabalin 75mg	Capsules	Neurology & CNS
STUGERON	Cinnarizine 25mg	Tablets	Neurology & CNS
CETIRIZINE 10MG	Cetirizine 10mg	Tablets	Antihistamines & Allergy
CPM PIRITON	Chlorphenamine Maleate 4mg	Tablets	Antihistamines & Allergy
